ID,depth,treatment,ring,plant,plant_ID,Sample ID,perC,isoC,bd,mgCgsoil,gCm2
92,40,ambient,4,PLRI,1,92,0.19563,-24.15322,1015288,1.95635,198.62555
127,60,ambient,4,PLRI,1,127,0.11185,-24.86740,1438654,1.11847,160.90980
162,80,ambient,4,PLRI,1,162,0.10188,-24.92913,1076229,1.01879,109.64490
27,0,ambient,5,AMDU,2,27,0.20175,-26.53768,2272946,2.01750,458.56665
62,20,ambient,5,AMDU,2,62,0.21962,-26.40320,1926143,2.19616,423.01184
97,40,ambient,5,AMDU,2,97,0.18379,-27.31780,1302663,1.83790,239.41640
132,60,ambient,5,AMDU,2,132,0.13101,-25.50037,2076188,1.31010,272.00174
167,80,ambient,5,AMDU,2,167,0.11666,-27.57819,1702879,1.16665,198.66629
29,0,ambient,5,INSP,2,29,0.12684,-24.57786,2272946,1.26845,288.31131
64,20,ambient,5,INSP,2,64,0.10842,-26.12455,1926143,1.08417,208.82575
99,40,ambient,5,INSP,2,99,0.13493,-26.98562,1302663,1.34928,175.76622
134,60,ambient,5,INSP,2,134,0.08740,-30.16586,2076188,0.87402,181.46401
169,80,ambient,5,INSP,2,169,0.08919,-28.19866,1702879,0.89186,151.87254
24,0,ambient,5,LATR,2,24,0.54586,-23.13599,2272946,5.45864,1240.71968
59,20,ambient,5,LATR,2,59,0.25354,-25.39498,1294035,2.53542,328.09173
94,40,ambient,5,LATR,2,94,0.23583,-25.96390,1302663,2.35827,307.20277
129,60,ambient,5,LATR,2,129,0.13474,-23.78308,2076188,1.34744,279.75433
164,80,ambient,5,LATR,2,164,0.11859,-24.50557,1702879,1.18585,201.93613
25,0,ambient,5,LYAN,2,25,0.36689,-24.17089,2272946,3.66895,833.93250
60,20,ambient,5,LYAN,2,60,0.31465,-25.29930,1926143,3.14645,606.05206
95,40,ambient,5,LYAN,2,95,0.26360,-24.89190,1302663,2.63599,343.38084
130,60,ambient,5,LYAN,2,130,0.16247,-24.77952,2076188,1.62468,337.31467
165,80,ambient,5,LYAN,2,165,0.13365,-25.54037,1702879,1.33651,227.59089
26,0,ambient,5,LYPA,2,26,0.20462,-24.09586,2272946,2.04616,465.08057
61,20,ambient,5,LYPA,2,61,0.21341,-24.03183,1926143,2.13410,411.05850
96,40,ambient,5,LYPA,2,96,0.17747,-26.03078,1302663,1.77468,231.18060
131,60,ambient,5,LYPA,2,131,0.15489,-24.38362,2076188,1.54891,321.58193
166,80,ambient,5,LYPA,2,166,0.12302,-24.18866,1702879,1.23022,209.49134
28,0,ambient,5,PLRI,2,28,0.25346,-23.18532,2272946,2.53465,576.11186
63,20,ambient,5,PLRI,2,63,0.21765,-24.13162,1926143,2.17648,419.22056
98,40,ambient,5,PLRI,2,98,0.17999,-27.47418,1302663,1.79987,234.46242
133,60,ambient,5,PLRI,2,133,0.14791,-22.62828,2076188,1.47913,307.09422
168,80,ambient,5,PLRI,2,168,0.08796,-26.74542,1702879,0.87958,149.78152
33,0,ambient,6,AMDU,3,33,0.16564,-26.07522,1856885,1.65643,307.57951
68,20,ambient,6,AMDU,3,68,0.17928,-27.87952,1470612,1.79284,263.65690
103,40,ambient,6,AMDU,3,103,0.11149,-27.98382,1246089,1.11493,138.92971
138,60,ambient,6,AMDU,3,138,0.08990,-28.77249,1841398,0.89900,165.54162
173,80,ambient,6,AMDU,3,173,0.09101,-28.86221,1394513,0.91011,126.91596
35,0,ambient,6,INSP,3,35,0.16238,-24.09895,1856885,1.62377,301.51625
70,20,ambient,6,INSP,3,70,0.17861,-28.30030,1470612,1.78610,262.66601
105,40,ambient,6,INSP,3,105,0.14172,-24.19067,1246089,1.41725,176.60157
140,60,ambient,6,INSP,3,140,0.09549,-27.86654,1841398,0.95490,175.83515
175,80,ambient,6,INSP,3,175,0.14680,-25.08194,1394513,1.46801,204.71638
30,0,ambient,6,LATR,3,30,0.41262,-23.12263,1856885,4.12619,766.18636
65,20,ambient,6,LATR,3,65,0.33031,-24.56474,1926143,3.30312,636.22840
100,40,ambient,6,LATR,3,100,0.17635,-25.66596,1246089,1.76352,219.75016
135,60,ambient,6,LATR,3,135,0.12883,-24.22217,1841398,1.28826,237.21994
170,80,ambient,6,LATR,3,170,0.13543,-25.42038,1394513,1.35428,188.85650
31,0,ambient,6,LYAN,3,31,0.44407,-24.29010,1856885,4.44068,824.58243
66,20,ambient,6,LYAN,3,66,0.11368,-24.87795,1470612,1.13676,167.17375
101,40,ambient,6,LYAN,3,101,0.10264,-26.31094,1246089,1.02637,127.89449
136,60,ambient,6,LYAN,3,136,0.08552,-26.28704,1841398,0.85522,157.47947
171,80,ambient,6,LYAN,3,171,0.10513,-25.18347,1394513,1.05130,146.60505
32,0,ambient,6,LYPA,3,32,0.25252,-23.86155,1856885,2.52516,468.89286
67,20,ambient,6,LYPA,3,67,0.17995,-28.15524,1470612,1.79946,264.63107
102,40,ambient,6,LYPA,3,102,0.12760,-26.71022,1246089,1.27601,159.00280
137,60,ambient,6,LYPA,3,137,0.09855,-30.41883,1841398,0.98546,181.46232
172,80,ambient,6,LYPA,3,172,0.10883,-25.55576,1394513,1.08831,151.76632
34,0,ambient,6,PLRI,3,34,0.18556,-22.84618,1856885,1.85559,344.56114
69,20,ambient,6,PLRI,3,69,0.19386,-28.05751,1470612,1.93857,285.08879
104,40,ambient,6,PLRI,3,104,0.17012,-24.74557,1246089,1.70123,211.98854
139,60,ambient,6,PLRI,3,139,0.16398,-20.84928,1841398,1.63985,301.96104
174,80,ambient,6,PLRI,3,174,0.12273,-23.30770,1394513,1.22727,171.14461
