Sample,depth,ring,treatment,plant,hf_perC,hf_isoC,hf_perN,hf_isoN,hf_mgCgsoil,hf_gCperm2,hf_mgNgsoil,hf_gNperm2,hf_CN
159,0,3,elevated,PLRI,0.130321228,-25.72565518,0.01880214,7.403507575,1.28836635,170.9470895,0.1858795,24.66345041,6.931191162
160,0,3,elevated,LYPA,0.096354,-28.43730407,0.009942726,6.694737043,0.956835642,126.957886,0.098735438,13.10072696,9.690903901
161,0,3,elevated,LYAN,0.167180287,-24.70311703,0.013514493,7.589730676,1.669265487,221.4867507,0.134939815,17.90451037,12.37044444
162,0,3,elevated,INSP,0.141401742,-25.99090374,0.018896281,6.435587912,1.408363613,186.868945,0.18820726,24.97230951,7.483046168
163,0,4,ambient,LATR,0.243923944,-23.98231146,0.028934714,9.138263941,2.39846188,356.7877552,0.284510026,42.32282957,8.430148901
164,0,4,ambient,AMDU,0.111585559,-26.65156002,0.013463225,8.232366976,1.106268822,164.565121,0.133475571,19.85541225,8.288174477
165,0,4,ambient,PLRI,0.16425937,-23.30292015,0.019466838,9.105231234,1.632555081,242.8538338,0.193478671,28.78128734,8.437907274
166,0,4,ambient,LYPA,0.129504911,-26.18712852,0.017221769,12.32742165,1.274728323,189.6246344,0.169515398,25.2165852,7.51983795
167,0,4,ambient,LYAN,0.186245295,-25.7295994,0.024164246,10.59470602,1.825811596,271.602074,0.236888458,35.23879275,7.70747386
168,0,4,ambient,INSP,0.119848509,-25.09556658,0.014914718,8.973100406,1.190007956,177.0218951,0.148092228,22.02974084,8.035586819
169,0,5,ambient,LATR,0.171905386,-26.80834263,0.019518298,9.83866157,1.690748762,384.2980845,0.19196919,43.63356275,8.807396424
170,0,5,ambient,AMDU,0.135982438,-27.59521383,0.015970543,8.978503328,1.342522848,305.1482104,0.15767344,35.83832337,8.514578297
171,0,5,ambient,PLRI,0.114956202,-27.37828192,0.012858789,8.543907623,1.139177041,258.9288041,0.127426241,28.96329811,8.939893623
172,0,5,ambient,LYPA,0.170265738,-25.73748783,0.01996299,8.977499643,1.674142846,380.5236493,0.19628668,44.61490483,8.529070067
174,0,5,ambient,INSP,0.109949746,-25.57577495,0.01386172,12.80354774,1.087478697,247.178049,0.137101961,31.16253701,7.931897488
175,0,6,ambient,LATR,0.147620648,-28.1592368,0.016506051,9.411091662,1.460691685,271.2336003,0.16332574,30.32770642,8.943426071
176,0,6,ambient,AMDU,0.118780152,-28.00344025,0.013770168,8.546918679,1.171150098,217.4690669,0.135771278,25.21116054,8.625904648
177,0,6,ambient,PLRI,0.198451095,-24.28207192,0.024244599,9.423135885,1.949519969,362.0033753,0.238171174,44.22564034,8.185373292
178,0,6,ambient,LYPA,0.205837618,-25.13698086,0.024153424,7.370599589,2.034279002,377.7421502,0.238706629,44.32506811,8.522088433
179,0,6,ambient,LYAN,0.281421619,-24.26235083,0.031910676,8.181640651,2.753331159,511.2618433,0.312202951,57.97248751,8.819042709
180,0,6,ambient,INSP,0.141431142,-26.85567323,0.016030988,9.468424431,1.407016195,261.266681,0.15948298,29.61415015,8.82235957
